stratum,path,bit,draw,abs_bit,cycle,cls,out_ok,hang,cnt_ok,cnt_err,gave_up_early,never_gives_up,strap_ok,noboot_set,valid_lost,record_ok,tmr_report
prot_c,g_prot_tmr.u_prot_c.bits,2,0,2,67,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,2,1,2,65,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,2,2,2,58,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,2,3,2,88,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,3,0,3,50,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,3,1,3,14,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,3,2,3,8,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,3,3,3,31,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,4,0,4,9,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,4,1,4,43,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,4,2,4,17,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,4,3,4,60,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,5,0,5,2,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,5,1,5,58,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,5,2,5,56,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,5,3,5,51,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,6,0,6,64,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,6,1,6,47,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,6,2,6,76,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,6,3,6,96,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,7,0,7,46,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,7,1,7,55,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,7,2,7,30,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,7,3,7,5,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,8,0,8,44,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
prot_c,g_prot_tmr.u_prot_c.bits,8,1,8,18,CORRECTED,True,,True,0,False,False,True,False,False,True,2281701376
